2019-10-24 12:54:40,580 [main] INFO  w.p.io.tests.PostCodeResourceTestss - HttpResponseProxy{HTTP/1.1 200 OK [Server: nginx/1.14.0, Date: Thu, 24 Oct 2019 11:54:40 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 792, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"318-NPnsoX5lGaPkRBBtLd2rqbyQ/Fg"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 792,Chunked: false]}}
2019-10-24 12:54:40,583 [main] INFO  w.p.io.tests.PostCodeResourceTestss - {"status":200,"result":[{"postcode":"TW3 1LX","quality":1,"eastings":513753,"northings":175857,"country":"England","nhs_ha":"London","longitude":-0.363664,"latitude":51.470255,"european_electoral_region":"London","primary_care_trust":"Hounslow","region":"London","lsoa":"Hounslow 018A","msoa":"Hounslow 018","incode":"1LX","outcode":"TW3","parliamentary_constituency":"Brentford and Isleworth","admin_district":"Hounslow","parish":"Hounslow, unparished area","admin_county":null,"admin_ward":"Hounslow Central","ced":null,"ccg":"NHS Hounslow","nuts":"Hounslow and Richmond upon Thames","codes":{"admin_district":"E09000018","admin_county":"E99999999","admin_ward":"E05000358","parish":"E43000208","parliamentary_constituency":"E14000593","ccg":"E38000084","ced":"E99999999","nuts":"UKI75"}}]}
2019-10-24 12:58:01,271 [main] INFO  www.postcodes.io.config.TestConfig - Configuration Loaded Successfully
2019-10-24 12:58:01,948 [main] INFO  TestHelper.PostCodeHelper - GET https://api.postcodes.io/postcodes?q=TW3+1LX HTTP/1.1
2019-10-24 12:58:02,228 [main] INFO  TestHelper.PostCodeHelper - HttpResponseProxy{HTTP/1.1 200 OK [Server: nginx/1.14.0, Date: Thu, 24 Oct 2019 11:58:02 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 792, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"318-NPnsoX5lGaPkRBBtLd2rqbyQ/Fg"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 792,Chunked: false]}}
2019-10-24 12:58:02,228 [main] INFO  w.p.io.tests.PostCodeResourceTestss - HttpResponseProxy{HTTP/1.1 200 OK [Server: nginx/1.14.0, Date: Thu, 24 Oct 2019 11:58:02 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 792, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"318-NPnsoX5lGaPkRBBtLd2rqbyQ/Fg"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 792,Chunked: false]}}
2019-10-24 12:58:02,231 [main] INFO  w.p.io.tests.PostCodeResourceTestss - {"status":200,"result":[{"postcode":"TW3 1LX","quality":1,"eastings":513753,"northings":175857,"country":"England","nhs_ha":"London","longitude":-0.363664,"latitude":51.470255,"european_electoral_region":"London","primary_care_trust":"Hounslow","region":"London","lsoa":"Hounslow 018A","msoa":"Hounslow 018","incode":"1LX","outcode":"TW3","parliamentary_constituency":"Brentford and Isleworth","admin_district":"Hounslow","parish":"Hounslow, unparished area","admin_county":null,"admin_ward":"Hounslow Central","ced":null,"ccg":"NHS Hounslow","nuts":"Hounslow and Richmond upon Thames","codes":{"admin_district":"E09000018","admin_county":"E99999999","admin_ward":"E05000358","parish":"E43000208","parliamentary_constituency":"E14000593","ccg":"E38000084","ced":"E99999999","nuts":"UKI75"}}]}
2019-10-24 13:14:41,991 [main] INFO  www.postcodes.io.config.TestConfig - Configuration Loaded Successfully
2019-10-24 13:14:42,597 [main] INFO  TestHelper.PostCodeHelper - GET https://api.postcodes.io/postcodes/rm139r HTTP/1.1
2019-10-24 13:14:42,936 [main] INFO  TestHelper.PostCodeHelper - HttpResponseProxy{HTTP/1.1 404 Not Found [Server: nginx/1.14.0, Date: Thu, 24 Oct 2019 12:14:42 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 41, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"29-T14TWaKfjMuMFPoRgcsDj2g1ORs"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 41,Chunked: false]}}
2019-10-24 13:14:42,944 [main] INFO  w.p.io.tests.PostCodeResourceTests - {"status":404,"error":"Invalid postcode"}
2019-10-24 13:14:42,956 [main] INFO  www.postcodes.io.config.TestConfig - Configuration Loaded Successfully
2019-10-24 13:14:42,967 [main] INFO  TestHelper.PostCodeHelper - GET https://api.postcodes.io/postcodes?q=ABC HTTP/1.1
2019-10-24 13:14:42,997 [main] INFO  TestHelper.PostCodeHelper - HttpResponseProxy{HTTP/1.1 200 OK [Server: nginx/1.14.0, Date: Thu, 24 Oct 2019 12:14:42 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 28, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"1c-C4NcFMR9ZJvtLuqE6P6UsNsSIg8"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 28,Chunked: false]}}
